Team,Accuracy,F1-Score
yasser3atres,65.46,64.85
yahia160,63.73,62.7
yhyaqenawy,53.29,54.77
nairaAbase,52.95,54.68
HM251253,47.79,49.26
wessam400,46.4,44.72
yomnakassim19,43.28,45.66
mayarelmassry37-dev,42.12,40.06
YoussefKhaled10,38.71,36.05
Yousif2005,38.15,36.2
Hamsasaeed99,35.9,33.21
Nada1777,35.28,34.43
mennadevhub,35.28,33.87
